Election ,JURISDICTION,City/District #,Position_Type,Number_of_Muslims,Impact,Vote_Difference,Name_1,Votes_1,Name_2,Votes_2
General_2019,City Council,MABTON,Pos. 3,1,< 25%,54,Mark Gourneau,79,Write-In,25
General_2019,City Council,MABTON,Pos. 4,1,< 25%,82,Vera Zavala,94,Write-In,12
General_2019,City Council,MABTON,Pos. 5,1,< 25%,88,Arturo De La Fuente,97,Write-In,9
General_2019,City Council,MALDEN,Pos. 1,1,< 25%,8,Scott Hokonson,40,Colleen Cross,32
General_2019,City Council,MALDEN,Pos. 4,1,< 25%,38,Robert Law,47,Write-In,9
General_2019,City Council,MALDEN,Pos. 5,1,< 25%,51,Lori Dickinson,55,Write-In,4
General_2019,City Council,MANSFIELD,Pos. 1,0,< 25%,84,Clint Wall,92,Write-In,8
General_2019,City Council,MANSFIELD,Pos. 3,0,< 25%,80,Betty Wilsey,85,Write-In,5
General_2019,City Council,MANSFIELD,Pos. 5,0,< 25%,88,Luke Hall,94,Write-In,6
General_2019,City Council,MAPLE VALLEY,Pos. 1,181,< 25%,4615,Sean P. Kelly,4848,Write-In,233
General_2019,City Council,MAPLE VALLEY,Pos. 3,181,< 25%,1190,Les Burberry,3759,Victoria Schroff,2569
General_2019,City Council,MAPLE VALLEY,Pos. 5,181,< 25%,2606,Syd Dawson,4398,Richard Axtell,1792
General_2019,City Council,MAPLE VALLEY,Pos. 7,181,< 25%,4623,Linda Johnson,4752,Write-In,129
General_2019,City Council,MARCUS,Pos. 2,0,< 25%,43,Sharon (Shari) DePaulo,46,Write-In,3
General_2019,City Council,MARCUS,Pos. 3,0,< 25%,27,Mark T. Redler,42,Carolyn Worden,15
General_2019,City Council,MARCUS,Pos. 5,0,< 25%,32,Janet Worden,36,Write-In,4
General_2019,City Council,MARYSVILLE,Pos. 6,310,< 25%,4896,Stephen C. Muller,9002,Katherine E. Iverson,4106
General_2019,City Council,MARYSVILLE,Pos. 7,310,< 25%,10560,Kamille Norton,10835,Write-In,275
General_2019,City Council,MARYSVILLE,Pos. 5,310,25-50%,682,Kelly J. Richards,7003,Jeff Seibert,6321
General_2019,City Council,MATTAWA,Pos. 1,0,< 25%,71,Sun Hwang,71,Write-In,0
General_2019,City Council,MATTAWA,Pos. 2,0,< 25%,70,Brian E Berghout,70,Write-In,0
General_2019,City Council,MATTAWA,Pos. 5,0,< 25%,78,Alexander Heredia,78,Write-In,0
General_2019,City Council,MATTAWA,Pos. 6,0,< 25%,80,Maggie Celaya,81,Write-In,1
General_2019,City Council,MCCLEARY,Pos. 1,0,< 25%,198,Jenna Amsbury,273,Synthicy (Syn) Omega,75
General_2019,City Council,MCCLEARY,Pos. 2,0,< 25%,307,Brycen Huff,320,Write-In,13
General_2019,City Council,MEDICAL LAKE,Pos. 1,2,< 25%,723,Donald Kennedy,755,Write-In,32
General_2019,City Council,MEDICAL LAKE,Pos. 2,2,< 25%,719,Elizabeth Rosenbeck,755,Write-In,36
General_2019,City Council,MEDICAL LAKE,Pos. 5,2,< 25%,153,Arthur Kulibert,525,Mitch Hardin,372
General_2019,City Council,MEDICAL LAKE,Pos. 6,2,< 25%,718,Heather Starr,747,Write-In,29
General_2019,City Council,MEDICAL LAKE,Pos. 7,2,< 25%,718,Jessica Roberts,740,Write-In,22
General_2019,City Council,MEDINA,Pos. 2,24,< 25%,279,Harini Gokul,719,Mehrdad Naeini,440
General_2019,City Council,MEDINA,Pos. 4,24,< 25%,776,Cynthia F. Adkins,795,Write-In,19
General_2019,City Council,MEDINA,Pos. 6,24,< 25%,167,Bob Zook,671,Sheree Wen,504
General_2019,City Council,MERCER ISLAND,Pos. 4,149,< 25%,1149,Lisa A. Anderl,5375,Patrick Allcorn,4226
General_2019,City Council,MERCER ISLAND,Pos. 1,149,> 50%,40,Dave Rosenbaum,4808,Daniel Thompson,4768
General_2019,City Council,MERCER ISLAND,Pos. 3,149,25-50%,565,Wendy Weiker,5086,Jon Hanlon,4521
General_2019,City Council,MERCER ISLAND,Pos. 5,149,25-50%,526,Craig W. Reynolds,5056,Heather Jordan Cartwright,4530
General_2019,City Council,MERCER ISLAND,Pos. 7,149,25-50%,343,Jake Jacobson,5038,Debbie Bertlin,4695
General_2019,City Council,MESA,Pos. 1,1,< 25%,23,Jim Cronenwett,32,Chiloe Chervenell,9
General_2019,City Council,MESA,Pos. 2,1,< 25%,34,Agustin Garcia Valdovinos,35,Write-In,1
General_2019,City Council,MESA,Pos. 3,1,< 25%,35,Elizabeth Castro,36,Write-In,1
General_2019,City Council,MESA,Pos. 4,1,< 25%,37,Merlin Giesbrecht,37,Write-In,0
General_2019,City Council,METALINE,Pos. 1,0,< 25%,24,William Bisson,40,Write-In,16
General_2019,City Council,METALINE,Pos. 4,0,< 25%,38,Tom Hough,46,Write-In,8
General_2019,City Council,METALINE,Pos. 2,0,< 25%,71,John Kinney,73,Write-In,2
General_2019,City Council,METALINE,Pos. 3,0,< 25%,51,Sam McGeorge,56,Write-In,5
General_2019,City Council,METALINE,Pos. 5,0,< 25%,60,Jerry Weaver,64,Write-In,4
General_2019,City Council,MILL CREEK,Pos. 2,217,< 25%,3829,Stephanie Vignal,3910,Write-In,81
General_2019,City Council,MILL CREEK,Pos. 5,217,< 25%,1247,Vincent J. Cavaleri,3156,Carmen Fisher,1909
General_2019,City Council,MILL CREEK,Pos. 6,217,< 25%,3699,Mike Todd,3818,Write-In,119
General_2019,City Council,MILL CREEK,Pos. 7,217,< 25%,3341,Mark Bond,3520,Write-In,179
General_2019,City Council,MILL CREEK,Pos. 1,217,> 50%,397,John Steckler,2704,Adam Morgan,2307
