Election ,JURISDICTION,City/District #,Position_Type,Number_of_Muslims,Impact,Vote_Difference,Name_1,Votes_1,Name_2,Votes_2
General_2015,City Council,HATTON,Pos. 3,0,< 25%,22,Linda Pitts,22,,0
General_2015,City Council,HATTON,Pos. 4,0,< 25%,23,James Earl Van Patten JR.,23,,0
General_2015,City Council,HATTON,Pos. 5,0,< 25%,0,Terry D. Quandt,10,Write-In: Kimberly Ford,10
General_2015,City Council,HUNTS POINT,Pos. 2,11,< 25%,106,Elaine A. Coles,110,Write-in,4
General_2015,City Council,HUNTS POINT,Pos. 4,11,< 25%,112,Patrick Finnelly,114,Write-in,2
General_2015,City Council,ILWACO,Pos. 4,0,< 25%,199,Jon Chambreau,199,,0
General_2015,City Council,ILWACO,Pos. 5,0,< 25%,147,Gary Forner,147,,0
General_2015,City Council,INDEX,Pos. 1,2,< 25%,29,Charles (Chuck) Davis,29,,0
General_2015,City Council,INDEX,Pos. 2,2,< 25%,41,Bob Hubbard,58,Rick Bott,17
General_2015,City Council,INDEX,Pos. 4,2,< 25%,27,Alexander Gibb,51,Travis Freeman,24
General_2015,City Council,INDEX,Pos. 5,2,< 25%,42,Kem Hunter,59,Robert (Bert) Shepardson,17
General_2015,City Council,INDEX,Pos. 3,2,> 50%,3,Blair Corson,40,Peter R. Gott,37
General_2015,City Council,IONE,Pos. 3,0,< 25%,80,KATHLEEN TURPIN,80,,0
General_2015,City Council,IONE,Pos. 4,0,< 25%,74,DYLAN T. POWERS,74,,0
General_2015,City Council,IONE,Pos. 5,0,< 25%,76,CHARLES SPEARS,76,,0
General_2015,City Council,ISSAQUAH,Pos. 2,369,< 25%,4227,Jennifer Sutton,4301,Write-in,74
General_2015,City Council,ISSAQUAH,Pos. 4,369,< 25%,1507,Bill Ramos,3629,Tim Flood,2122
General_2015,City Council,ISSAQUAH,Pos. 6,369,> 50%,515,Paul Winterstein,3060,Christopher Reh,2545
General_2015,City Council,KAHLOTUS,Pos. 3,0,< 25%,31,David Wooten,31,,0
General_2015,City Council,KAHLOTUS,Pos. 4,0,< 25%,32,John P. Rogers,32,,0
General_2015,City Council,KAHLOTUS,Pos. 6,0,< 25%,25,Shirley Ayers,25,,0
General_2015,City Council,KAHLOTUS,Pos. 5,0,< 25%,0,Marcia Robitaille,19,Robert L. Hagans,19
General_2015,City Council,KALAMA,Pos. 3,2,< 25%,414,James M. Dennis Langham,414,,0
General_2015,City Council,KALAMA,Pos. 4,2,< 25%,198,Rosemary Brinson Siipola,407,Donald Purvis,209
General_2015,City Council,KALAMA,Pos. 5,2,< 25%,444,Mary Putka,444,,0
General_2015,City Council,KELSO,Pos. 4,23,< 25%,291,David Futcher,918,Dale Barto,627
General_2015,City Council,KELSO,Pos. 5,23,< 25%,351,Jim Hill,932,Gary Edward Archer,581
General_2015,City Council,KELSO,Pos. 6,23,< 25%,1033,Larry Alexander,1033,,0
General_2015,City Council,KELSO,Pos. 7,23,< 25%,349,Nancy Malone,944,Gary Schimmel,595
General_2015,City Council,KENMORE,Pos. 1,220,< 25%,3413,Brent Smith,3478,Write-in,65
General_2015,City Council,KENMORE,Pos. 3,220,< 25%,3381,Milton Curtis,3445,Write-in,64
General_2015,City Council,KENMORE,Pos. 5,220,< 25%,1598,David Baker,3021,Bob Black,1423
General_2015,City Council,KENMORE,Pos. 7,220,< 25%,3333,Stacey Denuski,3396,Write-in,63
General_2015,City Council,KENNEWICK,Pos. 5,303,< 25%,2630,Matt Boehnke,6079,R E (Bob) Olson,3449
General_2015,City Council,KENNEWICK,Pos. 6,303,< 25%,1650,Paul Parish,5622,Diane Crawford,3972
General_2015,City Council,KENNEWICK,Pos. 7,303,< 25%,7640,Steve Young,7640,,0
General_2015,City Council,KENT,Pos. 3,2582,< 25%,11273,Les Thomas,11789,Write-in,516
General_2015,City Council,KENT,Pos. 5,2582,< 25%,11622,Bill Boyce,11823,Write-in,201
General_2015,City Council,KENT,Pos. 7,2582,< 25%,11611,Dana Ralph,11766,Write-in,155
General_2015,City Council,KENT,Pos. 1,2582,> 50%,3935,Tina Budell,9841,Hira Singh Bhullar,5906
General_2015,City Council,KENT,Pos. 6,2582,> 50%,562,Brenda Fincher,7665,Toni Troutner,7103
General_2015,City Council,KIRKLAND,Pos. 4,1345,< 25%,12372,Toby Nixon,12721,Write-in,349
General_2015,City Council,KIRKLAND,Pos. 6,1345,< 25%,5904,Dave Asher,11090,Martin Morgan,5186
General_2015,City Council,KIRKLAND,Pos. 2,1345,25-50%,4875,Shelley Kloba,10995,Jason Chinchilla,6120
General_2015,City Council,KITTITAS,Pos. 2,1,< 25%,126,Dave Doyle,184,Peter Schuetz,58
General_2015,City Council,KITTITAS,Pos. 3,1,< 25%,16,Jerry Gilmour,142,Gerald M Lael,126
General_2015,City Council,KITTITAS,Pos. 4,1,< 25%,205,Benjamin Whitehurst,205,,0
General_2015,City Council,KITTITAS,Pos. 5,1,< 25%,207,Dan R Sherman,207,,0
General_2015,City Council,KRUPP,Pos. 2,0,< 25%,15,Paul Friend,15,,0
General_2015,City Council,KRUPP,Pos. 3,0,< 25%,15,Paula G Horton,15,,0
General_2015,City Council,KRUPP,Pos. 4,0,< 25%,14,Patricia Friend,14,,0
General_2015,City Council,KRUPP,Pos. 5,0,< 25%,15,Lori Friend,15,,0
General_2015,City Council,LA CENTER,Pos. 1,18,< 25%,552,Heather Birdwell-Currey,552,,0
General_2015,City Council,LA CENTER,Pos. 4,18,< 25%,529,Joe Valenzuela,529,,0
General_2015,City Council,LA CENTER,Pos. 5,18,< 25%,550,Elizabeth M. Cerveny,550,,0
General_2015,City Council,LA CONNER,Pos. 1,3,< 25%,110,Jacques Brunisholz,196,Charity Christne Starkenburg,86
General_2015,City Council,LA CONNER,Pos. 4,3,< 25%,163,MaryLee Chamberlain,227,David Ritchie,64
General_2015,City Council,LA CONNER,Pos. 5,3,< 25%,211,Bill Bruch,211,,0
General_2015,City Council,LACEY,Pos. 1,143,< 25%,5746,Jason Hearn,5746,,0
General_2015,City Council,LACEY,Pos. 2,143,< 25%,5642,Lenny Greenstein,5642,,0
General_2015,City Council,LACEY,Pos. 3,143,< 25%,1462,Jeff Gadman,4431,Bill Frare,2969
General_2015,City Council,LACROSSE,Pos. 1,0,< 25%,91,Tom Cauley,91,,0
General_2015,City Council,LACROSSE,Pos. 2,0,< 25%,88,Dennis Mackleit,88,,0
General_2015,City Council,LACROSSE,Pos. 4,0,< 25%,85,Melissa Fleming,85,,0
General_2015,City Council,LAKE FOREST PARK,Pos. 2,79,< 25%,2741,Catherine Stanford,2785,Write-in,44
General_2015,City Council,LAKE FOREST PARK,Pos. 4,79,< 25%,923,Phillippa Kassover,2445,David A. Hammond,1522
General_2015,City Council,LAKE FOREST PARK,Pos. 6,79,< 25%,2732,Tom French,2789,Write-in,57
General_2015,City Council,LAKE STEVENS,Pos. 3,213,< 25%,3836,Kurt Hilt,3836,,0
General_2015,City Council,LAKE STEVENS,Pos. 4,213,< 25%,3791,Todd Welch,3791,,0
General_2015,City Council,LAKE STEVENS,Pos. 5,213,< 25%,942,Rauchel McDaniel,2766,Michael Boe,1824
General_2015,City Council,LAKEWOOD,Pos. 4,95,< 25%,6978,Don Anderson,6978,,0
General_2015,City Council,LAKEWOOD,Pos. 6,95,< 25%,2499,Marie Barth,5347,Ben Gonter,2848
General_2015,City Council,LAKEWOOD,Pos. 7,95,< 25%,6779,Paul Bocchi,6779,,0
General_2015,City Council,LANGLEY,Pos. 2,4,< 25%,310,Robin Black,310,,0
General_2015,City Council,LANGLEY,Pos. 3,4,< 25%,319,Ursula Shoudy,319,,0
General_2015,City Council,LANGLEY,Pos. 4,4,< 25%,334,Bruce Allen,334,,0
General_2015,City Council,LATAH,Pos. 2,0,< 25%,47,Larry La Bolle,47,,0
General_2015,City Council,LATAH,Pos. 5,0,< 25%,44,Cathy A. Dunkle,44,,0
General_2015,City Council,LEAVENWORTH,Pos. 1,1,< 25%,33,Gretchen Wearne,408,John M. Bangsund,375
General_2015,City Council,LEAVENWORTH,Pos. 2,1,< 25%,401,Mia Bretz,589,Raymond Laramie,188
General_2015,City Council,LEAVENWORTH,Pos. 3,1,< 25%,145,Margaret Neighbors,461,Tibor Lak,316
General_2015,City Council,LEAVENWORTH,Pos. 7,1,< 25%,610,Elmer Larsen,610,,0
General_2015,City Council,LIBERTY LAKE,Pos. 1,15,< 25%,1420,Robert (Bob) Moore,1420,,0
General_2015,City Council,LIBERTY LAKE,Pos. 3,15,< 25%,428,Dan Dunne,1141,Josh Beckett,713
General_2015,City Council,LIBERTY LAKE,Pos. 5,15,< 25%,1425,Shane Brickner,1425,,0
General_2015,City Council,LIBERTY LAKE,Pos. 7,15,< 25%,1438,Cristella Kaminskas,1438,,0
General_2015,City Council,LIND,Pos. 4,0,< 25%,82,Paula Bell,142,John D. Claypool,60
General_2015,City Council,LIND,Pos. 5,0,< 25%,167,Craig A. Cooper,181,Nick Meyers,14
General_2015,City Council,LONG BEACH,Pos. 1,1,< 25%,341,Steven Linhart,341,,0
General_2015,City Council,LONG BEACH,Pos. 2,1,< 25%,344,Tye J Caldwell,344,,0
General_2015,City Council,LONG BEACH,Pos. 3,1,< 25%,321,Del Murry,321,,0
General_2015,City Council,LONGVIEW,Pos. 1,31,< 25%,4326,Mike Wallin,4326,,0
General_2015,City Council,LONGVIEW,Pos. 2,31,< 25%,4170,Scott Vydra,4170,,0
General_2015,City Council,LONGVIEW,Pos. 3,31,< 25%,4129,Kenneth R. Botero,4129,,0
General_2015,City Council,LONGVIEW,Pos. 4,31,< 25%,4159,Don Jensen,4159,,0
General_2015,City Council,LYMAN,Pos. 3,0,< 25%,3,Mike Swanson,61,Charles (Dick) Saunders,58
General_2015,City Council,LYMAN,Pos. 4,0,< 25%,14,Mike Couch,66,Ryein Kitchen,52
General_2015,City Council,LYMAN,Pos. 5,0,< 25%,11,Gail Ganga,59,Donald Frye,48
General_2015,City Council,LYNDEN,Pos. 1,6,< 25%,3320,Gary L. Bode,3320,,0
General_2015,City Council,LYNDEN,Pos. 2,6,< 25%,3210,Ronald De Valois,3210,,0
General_2015,City Council,LYNDEN,Pos. 3,6,< 25%,3143,Gerald (Jerry) Kuiken,3143,,0
General_2015,City Council,LYNDEN,Pos. 4,6,< 25%,3172,Brent Lenssen,3172,,0
General_2015,City Council,LYNNWOOD,Pos. 4,1614,> 50%,808,Shirley Sutton,3224,Loren Simmonds,2416
General_2015,City Council,LYNNWOOD,Pos. 5,1614,> 50%,19,Benjamin Goodwin,2745,Chris Frizzell,2726
General_2015,City Council,LYNNWOOD,Pos. 6,1614,> 50%,432,George Hurst,2974,Sid Roberts,2542
General_2015,City Council,LYNNWOOD,Pos. 7,1614,> 50%,755,Shannon Sessions,3203,Van AuBuchon,2448
General_2015,City Council,MANSFIELD,Pos. 1,0,< 25%,81,Clint Wall,81,,0
General_2015,City Council,MANSFIELD,Pos. 3,0,< 25%,78,Betty Wilsey,78,,0
General_2015,City Council,MANSFIELD,Pos. 5,0,< 25%,21,Erik Hessman,61,Gerald Poole,40
General_2015,City Council,MAPLE VALLEY,Pos. 1,181,< 25%,3367,Sean P. Kelly,3462,Write-in,95
General_2015,City Council,MAPLE VALLEY,Pos. 5,181,< 25%,3178,Megan Sheridan,3265,Write-in,87
General_2015,City Council,MAPLE VALLEY,Pos. 7,181,< 25%,3212,Linda Johnson,3298,Write-in,86
General_2015,City Council,MAPLE VALLEY,Pos. 6,181,> 50%,198,Dana Parnello,2273,Cathy Hilde,2075
General_2015,City Council,MAPLE VALLEY,Pos. 3,181,25-50%,721,Les Burberry,2520,Kathi Turner,1799
General_2015,City Council,MARYSVILLE,Pos. 5,310,< 25%,2166,Rob Toyer,5477,Clarence R. Shaw,3311
General_2015,City Council,MARYSVILLE,Pos. 6,310,< 25%,7634,Stephen C. Muller,7634,,0
General_2015,City Council,MARYSVILLE,Pos. 7,310,< 25%,7850,Kamille Norton,7850,,0
General_2015,City Council,MCCLEARY,Pos. 1,0,< 25%,47,Brenda Orffer,190,Jeff Catterlin Sr.,143
General_2015,City Council,MCCLEARY,Pos. 2,0,< 25%,277,Chris Vessey,277,,0
General_2015,City Council,MEDICAL LAKE,Pos. 1,2,< 25%,677,John R. Paikuli,677,,0
General_2015,City Council,MEDICAL LAKE,Pos. 5,2,< 25%,661,Howard N Jorgenson,661,,0
General_2015,City Council,MEDICAL LAKE,Pos. 6,2,< 25%,643,Laura Louise Parsons,643,,0
General_2015,City Council,MEDICAL LAKE,Pos. 7,2,< 25%,41,Jessica M. Roberts,433,Don Kennedy,392
General_2015,City Council,MEDINA,Pos. 2,24,< 25%,617,David Lee,657,Write-in,40
General_2015,City Council,MEDINA,Pos. 4,24,< 25%,296,Cynthia F. Adkins,596,Jay D. Decker,300
General_2015,City Council,MEDINA,Pos. 6,24,< 25%,207,Sheree Wen,576,Shawn Schubring,369
General_2015,City Council,MERCER ISLAND,Pos. 3,149,< 25%,619,Wendy Weiker,4491,Salim Nice,3872
General_2015,City Council,MERCER ISLAND,Pos. 4,149,< 25%,6329,Jeff Sanderson,6774,Carl Silverberg,445
General_2015,City Council,MERCER ISLAND,Pos. 5,149,< 25%,805,Bruce Bassett,4681,Thomas Acker,3876
General_2015,City Council,MERCER ISLAND,Pos. 7,149,< 25%,939,Debbie Bertlin,4671,Traci Granbois,3732
General_2015,City Council,MERCER ISLAND,Pos. 1,149,25-50%,457,Dave Wisenteiner,4429,Jane Meyer Brahm,3972
General_2015,City Council,MESA,Pos. 1,1,< 25%,25,Jim Cronenwett,25,,0
General_2015,City Council,METALINE,Pos. 2,0,< 25%,70,JOHN KINNEY,70,,0
General_2015,City Council,METALINE,Pos. 5,0,< 25%,62,DAN JOHNSON,62,,0
General_2015,City Council,MILL CREEK,Pos. 6,217,< 25%,3293,Mike Todd,3293,,0
General_2015,City Council,MILL CREEK,Pos. 7,217,< 25%,2297,Mark Bond,3073,Douglas Carlson,776
General_2015,City Council,MILL CREEK,Pos. 5,217,> 50%,259,Vincent J. Cavaleri,2122,Lynn D. Sordel,1863
General_2015,City Council,MILLWOOD,Pos. 3,0,< 25%,289,Brian W. Ellingson,289,,0
General_2015,City Council,MILLWOOD,Pos. 4,0,< 25%,291,Andy Van Hees,291,,0
General_2015,City Council,MILLWOOD,Pos. 5,0,< 25%,291,Shaun Culler,291,,0
General_2015,City Council,MILTON,Pos. 2,12,< 25%,1372,Susan J.F. Johnson,1373,Write-in,1
General_2015,City Council,MILTON,Pos. 4,12,< 25%,1315,Tony Bennest,1317,Write-in,2
General_2015,City Council,MILTON,Pos. 6,12,< 25%,283,Jim Manley,944,Mary Tompkins,661
General_2015,City Council,MILTON,Pos. 7,12,< 25%,1348,Robert (Bob) Whalen,1348,Write-in,0
General_2015,City Council,MILTON,Pos. 5,12,> 50%,2,Mike Brockman,18,Lisa R. Johnson,16
General_2015,City Council,MILTON,Pos. 1,12,25-50%,30,Timothy Morrison,30,,0
General_2015,City Council,MILTON,Pos. 2,12,25-50%,30,Brian Kirkpatrick,30,,0
General_2015,City Council,MILTON,Pos. 3,12,25-50%,26,Bethany Betlem,26,,0
General_2015,City Council,MILTON,Pos. 4,12,25-50%,30,James S. Bates,30,,0
General_2015,City Council,MONROE,Pos. 4,85,< 25%,558,Jim Kamp,1311,Shayne Bradley,753
General_2015,City Council,MONROE,Pos. 5,85,< 25%,1735,Ed Davis,1735,,0
General_2015,City Council,MONROE,Pos. 6,85,25-50%,260,Jason Gamble,1147,Patti Gibbons,887
General_2015,City Council,MONROE,At-Large,85,25-50%,279,Kirk Scarboro,1188,Patrick Daniels,909
General_2015,City Council,MONTESANO,Pos. 2,1,< 25%,82,Ian Cope,660,Ken Carlson,578
General_2015,City Council,MONTESANO,Pos. 4,1,< 25%,291,Dave Skaramuca,751,Ken Walkington,460
General_2015,City Council,MONTESANO,Pos. 5,1,< 25%,100,Nikki (Hutchinson) King,667,Barry Iverson,567
General_2015,City Council,MONTESANO,Pos. 7,1,< 25%,430,Dan Wood,843,Pamela McElliott,413
General_2015,City Council,MOSES LAKE,Pos. 6,36,< 25%,535,Ryann Leonard,1817,Dick Deane,1282
General_2015,City Council,MOSES LAKE,Pos. 7,36,< 25%,369,Mike Norman,1697,"Greg ""Speedy"" Nevarez",1328
General_2015,City Council,MOSES LAKE,Pos. 3,36,> 50%,17,Don Myers,1534,Jason Avila,1517
General_2015,City Council,MOUNT VERNON,Ward 1 Pos. 1,37,< 25%,4817,Joe Lindquist,4817,,0
General_2015,City Council,MOUNT VERNON,Ward 2 Pos. 1,37,< 25%,4636,Mark Hulst,4636,,0
General_2015,City Council,MOUNT VERNON,Ward 3 Pos. 1,37,< 25%,1533,Mary A Hudson,3633,Patrick Miller,2100
General_2015,City Council,MOUNTLAKE TERRACE,Pos. 5,231,< 25%,2725,Bryan Wahl,2725,,0
General_2015,City Council,MOUNTLAKE TERRACE,Pos. 7,231,< 25%,2633,Seaun Richards,2633,,0
General_2015,City Council,MOUNTLAKE TERRACE,Pos. 6,231,25-50%,905,Laura Sonmore,2069,Stephen (Steve) Barnes,1164
General_2015,City Council,MUKILTEO,Pos. 5,239,< 25%,3134,Scott Whelpley,4051,Mohammed Riaz Khan,917
General_2015,City Council,MUKILTEO,Pos. 6,239,< 25%,1937,Richard Emery,3384,Jon Boyce,1447
General_2015,City Council,MUKILTEO,Pos. 7,239,< 25%,3374,Christine Cook,4094,Charles (Charlie) Eakins,720
General_2015,City Council,MUKILTEO,Pos. 4,239,25-50%,574,Steve Schmalz,2733,Nicole Thomsen,2159
General_2015,City Council,NESPELEM,Pos. 2,0,< 25%,21,Dennis Montes,21,,0
General_2015,City Council,NESPELEM,Pos. 4,0,< 25%,19,Kathryn M. Womer,19,,0
General_2015,City Council,NESPELEM,Pos. 5,0,< 25%,18,Dolores Castillo,18,,0
General_2015,City Council,NEWCASTLE,Pos. 2,117,< 25%,1382,Carol Simpson,1445,Write-in,63
General_2015,City Council,NEWCASTLE,Pos. 3,117,< 25%,1032,Allen Dauterman,1375,Rob Lemmon,343
General_2015,City Council,NEWCASTLE,Pos. 4,117,< 25%,1464,Gordon A. Bisset,1495,Write-in,31
General_2015,City Council,NEWCASTLE,Pos. 1,117,25-50%,390,Linda Newing,1149,Victoria Sandoval,759
General_2015,City Council,NEWPORT,Pos. 1,1,< 25%,345,KEN SMITH,345,,0
General_2015,City Council,NEWPORT,Pos. 4,1,< 25%,350,Mark Zorica,350,,0
General_2015,City Council,NEWPORT,Pos. 5,1,< 25%,362,KEITH CAMPBELL,362,,0
General_2015,City Council,NOOKSACK,Pos. 4,0,< 25%,237,Scott Bodven,237,,0
General_2015,City Council,NOOKSACK,Pos. 5,0,< 25%,241,Marshall Judy,241,,0
General_2015,City Council,NORMANDY PARK,Pos. 1,16,< 25%,1503,Doug Osterman,1551,Write-in,48
General_2015,City Council,NORMANDY PARK,Pos. 3,16,< 25%,1362,Jonathan Chicquette,1390,Write-in,28
General_2015,City Council,NORMANDY PARK,Pos. 5,16,< 25%,1416,Michelle N. Sipes-Marvin,1442,Write-in,26
General_2015,City Council,NORMANDY PARK,Pos. 7,16,< 25%,265,John L. Rankin,1212,Shawn McEvoy,947
General_2015,City Council,NORTH BEND,Pos. 1,31,< 25%,1040,Jonathan Rosen,1064,Write-in,24
General_2015,City Council,NORTH BEND,Pos. 3,31,< 25%,650,Trevor Kostanich,1039,Dee Wayne Williamson,389
General_2015,City Council,NORTH BEND,Pos. 5,31,< 25%,241,Brenden Elwood,868,David Cook,627
General_2015,City Council,NORTH BEND,Pos. 7,31,< 25%,363,Martin Volken,923,Judy Bilanko,560
General_2015,City Council,NORTH BONNEVILLE,Pos. 1,2,< 25%,152,Terry B. Norris,152,,0
General_2015,City Council,NORTH BONNEVILLE,Pos. 3,2,< 25%,47,Carrie Gwynne,126,Michael J. Baker,79
General_2015,City Council,NORTH BONNEVILLE,Pos. 4,2,< 25%,32,Brian M. Sabo,132,Craig Forster,100
General_2015,City Council,NORTH BONNEVILLE,Pos. 5,2,< 25%,35,Judie Whitcomb,141,Michael R. Hamilton,106
General_2015,City Council,OAK HARBOR,Pos. 1,22,< 25%,2603,Tara Hizon,2603,,0
General_2015,City Council,OAK HARBOR,Pos. 2,22,< 25%,2652,Beth Munns,2652,,0
General_2015,City Council,OAK HARBOR,Pos. 3,22,< 25%,2555,Rick Almberg,2555,,0
General_2015,City Council,OAKESDALE,Pos. 1,0,< 25%,128,Alan Evans,128,,0
General_2015,City Council,OAKESDALE,Pos. 2,0,< 25%,132,Dolores Haley,132,,0
General_2015,City Council,OAKESDALE,Pos. 3,0,< 25%,144,Thomas J Crooks,144,,0
General_2015,City Council,OAKVILLE,Pos. 1,0,< 25%,83,Julie Zehe,83,,0
General_2015,City Council,OAKVILLE,Pos. 2,0,< 25%,82,Traci D. Fallow,82,,0
General_2015,City Council,OCEAN SHORES,Pos. 2,2,< 25%,681,Holly Plackett,1283,John Lester Farra,602
General_2015,City Council,OCEAN SHORES,Pos. 3,2,< 25%,338,Dan Overton,1063,John Schroeder,725
General_2015,City Council,OCEAN SHORES,Pos. 4,2,< 25%,594,Jon Martin,1151,Dennis Schulte,557
General_2015,City Council,OCEAN SHORES,Pos. 6,2,< 25%,522,Bob Peterson,1105,Dan Marlowe,583
General_2015,City Council,ODESSA,Pos. 1,0,< 25%,257,Lois Hubbard,257,,0
General_2015,City Council,ODESSA,Pos. 2,0,< 25%,259,Bill Crossley,259,,0
General_2015,City Council,ODESSA,Pos. 5,0,< 25%,238,Marlene Kramer,238,,0
General_2015,City Council,OKANOGAN,Pos. 1,2,< 25%,238,Lisa Bauer,238,,0
General_2015,City Council,OKANOGAN,Pos. 4,2,< 25%,251,Wayne L. Turner,251,,0
General_2015,City Council,OKANOGAN,Pos. 6,2,< 25%,215,Nora Myers Sheridan,215,,0
General_2015,City Council,OKANOGAN,Pos. 7,2,< 25%,221,Patricia Stanton,221,,0
General_2015,City Council,OLYMPIA,Pos. 2,371,< 25%,2530,Jessica Bateman,7373,Judy Bardin,4843
General_2015,City Council,OLYMPIA,Pos. 3,371,< 25%,4498,Nathaniel Jones,8089,Rafael Ruiz,3591
General_2015,City Council,OMAK,Pos. 4,3,< 25%,361,Dino DeCesari,361,,0
General_2015,City Council,OMAK,Pos. 5,3,< 25%,519,Barry Wayne Freel,519,,0
General_2015,City Council,OMAK,Pos. 6,3,< 25%,512,Stephen D. Clark,512,,0
General_2015,City Council,OMAK,Pos. 7,3,< 25%,517,Walt Womack,517,,0
General_2015,City Council,OROVILLE,Pos. 3,1,< 25%,49,David (Mac) McElheran,184,Robert Fuchs,135
General_2015,City Council,OROVILLE,Pos. 4,1,< 25%,314,Walter A. Hart III,314,,0
General_2015,City Council,OROVILLE,Pos. 5,1,< 25%,91,Neysa Roley,211,Chris Allen,120
General_2015,City Council,ORTING,Pos. 1,22,< 25%,200,Tod Gunther,740,Gwen Robson,540
General_2015,City Council,ORTING,Pos. 4,22,< 25%,762,Dave Harman,1025,Phil Allen,263
General_2015,City Council,ORTING,Pos. 6,22,< 25%,217,Joshua Penner,754,Arlene Dannat,537
General_2015,City Council,ORTING,Pos. 5,22,> 50%,3,Nicola McDonald,665,Guy S. (Sam) Colorossi,662
General_2015,City Council,OTHELLO,Pos. 4,4,< 25%,385,Eugene Bain,385,,0
General_2015,City Council,OTHELLO,Pos. 5,4,< 25%,412,Larry McCourtie,412,,0
General_2015,City Council,OTHELLO,Pos. 6,4,< 25%,417,Mark Snyder,417,,0
General_2015,City Council,OTHELLO,Pos. 7,4,< 25%,376,Angel Garza,376,,0
General_2015,City Council,PACIFIC,Pos. 1,42,< 25%,1214,Katie Garberding,1227,Write-in,13
General_2015,City Council,PACIFIC,Pos. 6,42,< 25%,269,David B. Storaasli,898,Don Thomson,629
General_2015,City Council,PACIFIC,Pos. 3,42,> 50%,53,Clinton Steiger,795,Brice Erickson,742
General_2015,City Council,PALOUSE,Pos. 2,0,< 25%,292,Bo Ossinger,292,,0
General_2015,City Council,PALOUSE,Pos. 5,0,< 25%,300,Rick Wekenman,300,,0
General_2015,City Council,PALOUSE,Pos. 6,0,< 25%,313,Mark Wilcomb,313,,0
General_2015,City Council,PASCO,Pos. 6,57,< 25%,2215,Matt Watkins,4615,Bertha Aranda Glatt,2400
General_2015,City Council,PASCO,District 1,57,< 25%,3184,Al Yenney,5114,Bertha Alicia Coria,1930
General_2015,City Council,PASCO,District 6,57,< 25%,517,Rebecca Francik,3806,David Milne,3289
General_2015,City Council,PATEROS,Pos. 3,1,< 25%,81,George Brady,81,,0
General_2015,City Council,PATEROS,Pos. 4,1,< 25%,87,Ryan W. Greene,87,,0
General_2015,City Council,PATEROS,Pos. 5,1,< 25%,91,Megan Sherrard,91,,0
General_2015,City Council,PORT ANGELES,Pos. 5,16,< 25%,595,Michael Merideth,2268,Marolee Smith,1673
General_2015,City Council,PORT ANGELES,Pos. 6,16,< 25%,2826,Sissi Bruch,2826,,0
General_2015,City Council,PORT ANGELES,Pos. 7,16,< 25%,450,Cherie Kidd,2326,Dan Bateham,1876
General_2015,City Council,PORT ORCHARD,At-Large,36,< 25%,1847,Clancy Donlin,1847,,0
General_2015,City Council,PORT ORCHARD,Pos. 1,36,< 25%,505,Shawn Cucciardi,1509,Keith Law,1004
General_2015,City Council,PORT ORCHARD,Pos. 5,36,< 25%,662,Cindy Lucarelli,1592,Marcus Lane,930
General_2015,City Council,PORT ORCHARD,Pos. 4,36,25-50%,104,John W Clauson,1300,Nick Whittleton,1196
General_2015,City Council,PORT TOWNSEND,Pos. 3,9,< 25%,2541,Deborah Stinson,2541,,0
General_2015,City Council,PORT TOWNSEND,Pos. 4,9,< 25%,2427,Robert Gray,2427,,0
General_2015,City Council,PORT TOWNSEND,Pos. 6,9,< 25%,1501,Amy Smith,2520,Paul S. Rice,1019
General_2015,City Council,PORT TOWNSEND,Pos. 7,9,< 25%,1397,David J. Faber,2301,Travis R. Keena,904
General_2015,City Council,POULSBO,Pos. 1,29,< 25%,367,Kenneth Thomas,1176,Amanda Cheatham,809
General_2015,City Council,POULSBO,Pos. 2,29,< 25%,1631,Connie Lord,1631,,0
General_2015,City Council,POULSBO,Pos. 3,29,< 25%,1581,Gary Nystul,1581,,0
General_2015,City Council,POULSBO,Pos. 4,29,< 25%,1277,Jeffrey R. McGinty,1599,Gregory A. Mueller,322
General_2015,City Council,PRESCOTT,Pos. 2,0,< 25%,61,Val Jacobson,61,,0
General_2015,City Council,PRESCOTT,Pos. 3,0,< 25%,51,Douglas (Doug) Venn,51,,0
General_2015,City Council,PRESCOTT,Pos. 4,0,< 25%,57,Chuck Kimzey,57,,0
General_2015,City Council,PRESCOTT,Pos. 5,0,< 25%,7,Brent Potts,41,Matt Tunell,34
General_2015,City Council,PROSSER,Pos. 3,1,< 25%,720,Rob Siemens,720,,0
General_2015,City Council,PROSSER,Pos. 4,1,< 25%,716,Bob Elder,716,,0
General_2015,City Council,PROSSER,Pos. 5,1,< 25%,684,Mary Ruth Edwards,684,,0
General_2015,City Council,PROSSER,Pos. 6,1,< 25%,708,Steven W Becken,708,,0
General_2015,City Council,PROSSER,Pos. 7,1,< 25%,652,Humberto Rodriguez,652,,0
General_2015,City Council,PULLMAN,Pos. 3,94,< 25%,408,Pat Wright,408,,0
General_2015,City Council,PULLMAN,Pos. 6,94,< 25%,479,Eileen (Mac) Macoll,1660,Tony Poston,1181
General_2015,City Council,PULLMAN,Pos. 2,94,25-50%,352,Nathan Weller,352,,0
General_2015,City Council,PULLMAN,Pos. 1,94,25-50%,321,Ann Parks,1090,Francis Benjamin,769
General_2015,City Council,PUYALLUP,Pos. 1,381,> 50%,687,Robin Farris,1568,Pat McGregor,881
